Group,Month,Stratum,Density,SE,% of var.,95% Lower,95% Upper
ARTE,04050607,g100,0,,,,
ARTE,04050607,g101,0,,,,
ARTE,04050607,g102,0,,,,
ARTE,04050607,g103,0,,,,
ARTE,04050607,g104,0,,,,
ARTE,04050607,g106,0,,,,
ARTE,04050607,g107,0,,,,
ARTE,04050607,g108,0,,,,
ARTE,04050607,g109,0,,,,
ARTE,04050607,g11,0.58686,0.11772,20.06,0.3923,0.87791
ARTE,04050607,g110,0,,,,
ARTE,04050607,g111,0.10925,0.10022,91.74,0.019574,0.60978
ARTE,04050607,g112,0,,,,
ARTE,04050607,g113,0,,,,
ARTE,04050607,g114,0,,,,
ARTE,04050607,g115,0,,,,
ARTE,04050607,g116,0,,,,
ARTE,04050607,g117,0,,,,
ARTE,04050607,g118,0,,,,
ARTE,04050607,g119,0,,,,
ARTE,04050607,g12,0,,,,
ARTE,04050607,g120,0,,,,
ARTE,04050607,g121,0,,,,
ARTE,04050607,g122,0,,,,
ARTE,04050607,g124,0,,,,
ARTE,04050607,g125,0,,,,
ARTE,04050607,g126,0,,,,
ARTE,04050607,g127,0,,,,
ARTE,04050607,g129,0.082743,0.085354,103.15,0.013144,0.52086
ARTE,04050607,g13,0,,,,
ARTE,04050607,g130,0,,,,
ARTE,04050607,g131,0,,,,
ARTE,04050607,g132,0,,,,
ARTE,04050607,g133,0,,,,
ARTE,04050607,g134,0,,,,
ARTE,04050607,g135,0,,,,
ARTE,04050607,g136,0,,,,
ARTE,04050607,g137,0,,,,
ARTE,04050607,g138,0,,,,
ARTE,04050607,g139,0,,,,
ARTE,04050607,g14,0,,,,
ARTE,04050607,g140,0,,,,
ARTE,04050607,g141,0,,,,
ARTE,04050607,g142,0,,,,
ARTE,04050607,g143,0,,,,
ARTE,04050607,g144,0,,,,
ARTE,04050607,g145,0,,,,
ARTE,04050607,g146,0,,,,
ARTE,04050607,g147,0,,,,
ARTE,04050607,g148,0,,,,
ARTE,04050607,g149,0,,,,
ARTE,04050607,g150,0,,,,
ARTE,04050607,g151,0,,,,
ARTE,04050607,g154,0,,,,
ARTE,04050607,g155,0,,,,
ARTE,04050607,g156,0,,,,
ARTE,04050607,g157,0,,,,
ARTE,04050607,g158,0,,,,
ARTE,04050607,g159,0,,,,
ARTE,04050607,g16,0,,,,
ARTE,04050607,g160,0,,,,
ARTE,04050607,g161,0,,,,
ARTE,04050607,g162,0,,,,
ARTE,04050607,g163,0,,,,
ARTE,04050607,g164,0,,,,
ARTE,04050607,g165,0,,,,
ARTE,04050607,g166,0,,,,
ARTE,04050607,g167,0,,,,
ARTE,04050607,g168,0,,,,
ARTE,04050607,g169,0,,,,
ARTE,04050607,g17,0,,,,
ARTE,04050607,g170,0,,,,
ARTE,04050607,g171,0,,,,
ARTE,04050607,g172,0,,,,
ARTE,04050607,g174,0,,,,
ARTE,04050607,g175,0,,,,
ARTE,04050607,g176,0,,,,
ARTE,04050607,g177,0,,,,
ARTE,04050607,g178,0,,,,
ARTE,04050607,g179,0,,,,
ARTE,04050607,g18,0,,,,
ARTE,04050607,g180,0,,,,
ARTE,04050607,g181,0,,,,
ARTE,04050607,g182,0,,,,
ARTE,04050607,g183,0,,,,
ARTE,04050607,g185,0,,,,
ARTE,04050607,g186,0,,,,
ARTE,04050607,g187,0,,,,
ARTE,04050607,g188,0,,,,
ARTE,04050607,g189,0.079622,0.084448,106.06,0.012366,0.51267
ARTE,04050607,g19,0,,,,
ARTE,04050607,g190,0,,,,
ARTE,04050607,g191,0,,,,
ARTE,04050607,g192,0,,,,
ARTE,04050607,g193,0,,,,
ARTE,04050607,g194,0,,,,
ARTE,04050607,g195,0,,,,
ARTE,04050607,g196,0,,,,
ARTE,04050607,g198,0,,,,
ARTE,04050607,g199,0,,,,
ARTE,04050607,g2,0,,,,
ARTE,04050607,g20,0,,,,
ARTE,04050607,g200,0,,,,
ARTE,04050607,g201,0,,,,
ARTE,04050607,g202,0,,,,
ARTE,04050607,g205,0.049054,0.051318,104.62,0.0086004,0.27979
ARTE,04050607,g206,0,,,,
ARTE,04050607,g207,0,,,,
ARTE,04050607,g208,0,,,,
ARTE,04050607,g209,0,,,,
ARTE,04050607,g21,0,,,,
ARTE,04050607,g210,0,,,,
ARTE,04050607,g211,0,,,,
ARTE,04050607,g212,0,,,,
ARTE,04050607,g213,0,,,,
ARTE,04050607,g214,0,,,,
ARTE,04050607,g215,0,,,,
ARTE,04050607,g216,0,,,,
ARTE,04050607,g217,0,,,,
ARTE,04050607,g218,0,,,,
ARTE,04050607,g219,0,,,,
ARTE,04050607,g220,0,,,,
ARTE,04050607,g221,0,,,,
ARTE,04050607,g223,0,,,,
ARTE,04050607,g224,0,,,,
ARTE,04050607,g225,0,,,,
ARTE,04050607,g226,0,,,,
ARTE,04050607,g227,0,,,,
ARTE,04050607,g228,0,,,,
ARTE,04050607,g229,0,,,,
